Employee_ID,Provider_Name,Primary_Division,Department,Provider_Type,Specialty,Benchmark_Group,Population,Compensation_Plan,Years_of_Experience,Current_FTE,Clinical_FTE,Current_Base_Salary,Current_TCC,Current_CF,Current_Target_WRVUs,Prior_Year_WRVUs,Current_TCC_Percentile,WRVU_Percentile,Evaluation_Score,Percent_of_Year_Employed,Prior_Year_WRVU_Incentive,Current_Compa_Ratio
APP2061,Karen Smith,Cardiothoracic,,app,,Cardiothoracic,app,salary,13.1,0.9,,164179,164179,,,,,,2,,,
APP2062,Jessica Davis,Emergency Medicine,,app,,Emergency,app,salary,2.6,1,,166866,166866,,,,,,1,,,
APP2063,Thomas Brown,General Pediatrics,,app,,Combined_General,app,salary,8.3,0.9,,132102,133540,,,,,,5,,,
APP2064,Kevin Thompson,Emergency Medicine,,app,,Emergency,app,salary,17,0.9,,106670,109722,,,,,,2,,,
APP2065,Mark Lewis,Cardiothoracic,,app,,Cardiothoracic,app,salary,7.4,0.9,,145662,145662,,,,,,5,,,
APP2066,Sandra Flores,Neonatology,,app,,Neonatal,app,salary,19.3,0.6,,107439,112726,,,,,,1,,,
APP2067,Christopher Lopez,General Pediatrics,,app,,Combined_General,app,salary,9.7,1,,153722,153722,,,,,,3,,,
APP2068,Richard Young,Neonatology,,app,,Neonatal,app,salary,13.5,0.6,,140307,140307,,,,,,5,,,
APP2069,Donald Torres,Emergency Medicine,,app,,Emergency,app,salary,12.9,0.7,,109461,112800,,,,,,1,,,
APP2070,George Perez,Cardiothoracic,,app,,Cardiothoracic,app,salary,17.3,0.8,,157382,158428,,,,,,1,,,
APP2071,Patricia Wright,Emergency Medicine,,app,,Emergency,app,salary,8.5,0.7,,153107,153107,,,,,,3,,,
APP2072,David Perez,Cardiothoracic,,app,,Cardiothoracic,app,salary,5.9,0.7,,110992,113651,,,,,,4,,,
APP2073,David Thomas,Behavioral Health,,app,,Child_Psych,app,salary,19.7,0.6,,122897,122897,,,,,,1,,,
APP2074,Nancy Hernandez,Emergency Medicine,,app,,Emergency,app,salary,8.4,0.9,,121665,121665,,,,,,5,,,
APP2075,Robert Martinez,Neonatology,,app,,Neonatal,app,salary,14.3,0.7,,164882,164882,,,,,,5,,,
APP2076,Karen Wright,Cardiothoracic,,app,,Cardiothoracic,app,salary,10.5,0.6,,123181,129130,,,,,,5,,,
APP2077,Joshua Rodriguez,Emergency Medicine,,app,,Emergency,app,salary,7.4,0.8,,147967,147967,,,,,,3,,,
APP2078,Kenneth Young,Behavioral Health,,app,,Child_Psych,app,salary,14.8,0.9,,164551,165888,,,,,,4,,,
APP2079,Linda Martinez,Cardiothoracic,,app,,Cardiothoracic,app,salary,14.3,0.6,,164391,164391,,,,,,3,,,
MHT3000,Patricia Williams,Behavioral Health,,therapist,,,mental_health,salary,8.9,0.9,,113716,113716,,,,,,1,,,
MHT3001,Steven Anderson,Behavioral Health,,therapist,,,mental_health,salary,2,0.8,,107612,107612,,,,,,2,,,
MHT3002,Carol Thompson,Behavioral Health,,therapist,,,mental_health,salary,16.3,0.7,,89737,89737,,,,,,3,,,
MHT3003,Michelle Johnson,Behavioral Health,,therapist,,,mental_health,salary,14.3,0.6,,99337,99337,,,,,,5,,,
MHT3004,Paul Thomas,Behavioral Health,,therapist,,,mental_health,salary,21.2,0.7,,94150,94150,,,,,,2,,,
MHT3005,Joseph Williams,Behavioral Health,,therapist,,,mental_health,salary,5.4,0.9,,111762,111762,,,,,,3,,,
MHT3006,Betty Miller,Behavioral Health,,therapist,,,mental_health,salary,15.8,0.9,,117738,117738,,,,,,5,,,
MHT3007,Kevin Garcia,Behavioral Health,,therapist,,,mental_health,salary,11.7,0.8,,96328,96328,,,,,,1,,,
MHT3008,Patricia Jackson,Behavioral Health,,therapist,,,mental_health,salary,12.6,1,,118294,118294,,,,,,1,,,
MHT3009,Kenneth White,Behavioral Health,,therapist,,,mental_health,salary,8.4,0.7,,91565,91565,,,,,,2,,,
MHT3010,Margaret Sanchez,Behavioral Health,,therapist,,,mental_health,salary,21.7,0.7,,91750,91750,,,,,,2,,,
MHT3011,James Ramirez,Behavioral Health,,therapist,,,mental_health,salary,7.2,0.7,,120721,120721,,,,,,4,,,
MHT3012,Robert Torres,Behavioral Health,,therapist,,,mental_health,salary,8.6,0.6,,96076,96076,,,,,,3,,,
MHT3013,Andrew Anderson,Behavioral Health,,therapist,,,mental_health,salary,6.6,0.8,,121878,121878,,,,,,5,,,
MHT3014,Paul Lopez,Behavioral Health,,therapist,,,mental_health,salary,12.7,1,,116556,116556,,,,,,5,,,
MHT3015,Donna Martinez,Behavioral Health,,therapist,,,mental_health,salary,19,0.7,,94303,94303,,,,,,2,,,
MHT3016,Robert Flores,Behavioral Health,,therapist,,,mental_health,salary,8.9,0.7,,95564,95564,,,,,,2,,,
MHT3017,Susan Clark,Behavioral Health,,therapist,,,mental_health,salary,6.9,0.9,,111252,111252,,,,,,4,,,
MHT3018,Dorothy Ramirez,Behavioral Health,,therapist,,,mental_health,salary,0.2,0.9,,115020,115020,,,,,,3,,,
MHT3019,Richard King,Behavioral Health,,therapist,,,mental_health,salary,13.2,0.6,,115044,115044,,,,,,2,,,
MHT3020,Margaret Nguyen,Behavioral Health,,therapist,,,mental_health,salary,10.9,0.9,,103675,103675,,,,,,3,,,
MHT3021,Karen Lee,Behavioral Health,,therapist,,,mental_health,salary,17.8,0.6,,96318,96318,,,,,,1,,,
MHT3022,Betty King,Behavioral Health,,therapist,,,mental_health,salary,15,0.9,,94511,94511,,,,,,1,,,
MHT3023,Nancy Flores,Behavioral Health,,therapist,,,mental_health,salary,6.1,0.7,,87569,87569,,,,,,2,,,
MHT3024,Steven Torres,Behavioral Health,,therapist,,,mental_health,salary,11.7,0.9,,118531,118531,,,,,,1,,,
MHT3025,John Thomas,Behavioral Health,,therapist,,,mental_health,salary,19.3,0.9,,93112,93112,,,,,,1,,,
MHT3026,Nancy Perez,Behavioral Health,,therapist,,,mental_health,salary,4.1,0.7,,94737,94737,,,,,,4,,,
MHT3027,Karen Thomas,Behavioral Health,,therapist,,,mental_health,salary,0.9,0.7,,124496,124496,,,,,,4,,,
MHT3028,Linda Allen,Behavioral Health,,therapist,,,mental_health,salary,18,0.6,,120048,120048,,,,,,1,,,
MHT3029,Ashley King,Behavioral Health,,therapist,,,mental_health,salary,2.4,0.7,,122407,122407,,,,,,4,,,
EDG001,Alex Rivera,Cardiology,Cardiology,physician,Cardiology,Cardiology,physician,wrvu,10,0.3,0.3,120000,135000,55,1950,2100,48,52,4,1,13500,
EDG002,Jordan Blake,Orthopedics,Orthopedics,physician,Orthopedics,Orthopedics,physician,wrvu,15,1,1,450000,787500,56.25,7200,12000,98,99,4.5,1,337500,
EDG003,Sam Foster,Hospitalist,Internal Medicine,physician,Internal Medicine,Internal Medicine,physician,wrvu,6,1,1,280000,280000,50,4800,3600,42,25,3,1,0,
EDG004,Casey Morgan,General Pediatrics,Family Medicine,physician,Family Medicine,Family Medicine,physician,wrvu,4,1,1,112000,128000,50,1680,1400,48,42,4,0.4,12000,
EDG005,Robin Hayes,Cardiology,Cardiology,physician,Cardiology,Cardiology,physician,wrvu,20,1,1,520000,620000,55,6500,8000,97,88,4.5,1,100000,
EDG006,Quinn Ellis,Hospitalist,Internal Medicine,physician,Internal Medicine,Internal Medicine,physician,wrvu,2,1,1,200000,220000,48,4800,4500,8,42,3.5,1,20000,
EDG007,Taylor Reed,Neonatology,Neonatology,app,Neonatology,Neonatal,app,salary,8,1,1,145000,148000,,3200,3100,55,52,4,1,,
EDG008,Morgan Tate,Behavioral Health,Behavioral Health,therapist,Mental Health Therapist,Mental Health Therapist,allied,salary,12,1,1,108000,108000,,1200,1320,92,72,4.5,1,,1.24
